Year,Tournament,Mens_Winner,Mens_RunnerUp,Womens_Winner,Womens_RunnerUp,
2025,Australian Open,Jannik Sinner,Alexander Zverev,Madison Keys,Aryna Sabalenka,
2024,U.S. Open,Jannik Sinner,Taylor Fritz,Aryna Sabalenka,Jessica Pegula,
2024,Wimbledon,Carlos Alcaraz,Novak Djokovic,Barbora Krejcikova,Jasmine Paolini,
2024,French Open,Carlos Alcaraz,Alexander Zverev,Iga Swiatek,Jasmine Paolini,
2024,Australian Open,Jannik Sinner,Daniil Medvedev,Aryna Sabalenka,Qinwen Zheng,
2023,U.S. Open,Novak Djokovic,Daniil Medvedev,Coco Gauff,Aryna Sabalenka,
2023,Wimbledon,Carlos Alcaraz,Novak Djokovic,Marketa Vondrousova,Ons Jabeur,
2023,French Open,Novak Djokovic,Casper Ruud,Iga Swiatek,Karolina Muchova,
2023,Australian Open,Novak Djokovic,Stefanos Tsitsipas,Aryna Sabalenka,Elena Rybakina,
2022,U.S. Open,Carlos Alcaraz,Casper Ruud,Iga Swiatek,Ons Jabeur,
2022,Wimbledon,Novak Djokovic,Nick Kyrgios,Elena Rybakina,Ons Jabeur,
2022,French Open,Rafael Nadal,Casper Ruud,Iga Swiatek,Coco Gauff,
2022,Australian Open,Rafael Nadal,Daniil Medvedev,Ashleigh Barty,Danielle Collins,
2021,U.S. Open,Daniil Medvedev,Novak Djokovic,Emma Raducanu,Leylah Fernandez,
2021,Wimbledon,Novak Djokovic,Matteo Berrettini,Ashleigh Barty,Karolina Pliskova,
2021,French Open,Novak Djokovic,Stefanos Tsitsipas,Barbora Krejcikova,Anastasia Pavlyuchenkova,
2021,Australian Open,Novak Djokovic,Daniil Medvedev,Naomi Osaka,Jennifer Brady,
2020,French Open,Rafael Nadal,Novak Djokovic,Iga Swiatek,Sofia Kenin,
2020,U.S. Open,Dominic Thiem,Alexander Zverev,Naomi Osaka,Victoria Azarenka,
2020,Australian Open,Novak Djokovic,Dominic Thiem,Sofia Kenin,Garbine Muguruza,
2019,U.S. Open,Rafael Nadal,Daniil Medvedev,Bianca Andreescu,Serena Williams,
2019,Wimbledon,Novak Djokovic,Roger Federer,Simona Halep,Serena Williams,
2019,French Open,Rafael Nadal,Dominic Thiem,Ashleigh Barty,Marketa Vondrousova,
2019,Australian Open,Novak Djokovic,Rafael Nadal,Naomi Osaka,Petra Kvitova,
2018,U.S. Open,Novak Djokovic,Juan Martin del Potro,Naomi Osaka,Serena Williams,
2018,Wimbledon,Novak Djokovic,Kevin Anderson,Angelique Kerber,Serena Williams,
2018,French Open,Rafael Nadal,Dominic Thiem,Simona Halep,Sloane Stephens,
2018,Australian Open,Roger Federer,Marin Cilic,Caroline Wozniacki,Simona Halep,
2017,U.S. Open,Rafael Nadal,Kevin Anderson,Sloane Stephens,Madison Keys,
2017,Wimbledon,Roger Federer,Marin Cilic,Garbine Muguruza,Venus Williams,
2017,French Open,Rafael Nadal,Stan Wawrinka,Jelena Ostapenko,Simona Halep,
2017,Australian Open,Roger Federer,Rafael Nadal,Serena Williams,Venus Williams,
2016,U.S. Open,Stan Wawrinka,Novak Djokovic,Angelique Kerber,Karolina Pliskova,
2016,Wimbledon,Andy Murray,Milos Raonic,Serena Williams,Angelique Kerber,
2016,French Open,Novak Djokovic,Andy Murray,Garbine Muguruza,Serena Williams,
2016,Australian Open,Novak Djokovic,Andy Murray,Angelique Kerber,Serena Williams,
2015,U.S. Open,Novak Djokovic,Roger Federer,Flavia Pennetta,Roberta Vinci,
2015,Wimbledon,Novak Djokovic,Roger Federer,Serena Williams,Garbine Muguruza,
2015,French Open,Stan Wawrinka,Novak Djokovic,Serena Williams,Lucie Safarova,
2015,Australian Open,Novak Djokovic,Andy Murray,Serena Williams,Maria Sharapova,
2014,U.S. Open,Marin Cilic,Kei Nishikori,Serena Williams,Caroline Wozniacki,
2014,Wimbledon,Novak Djokovic,Roger Federer,Petra Kvitova,Eugenie Bouchard,
2014,French Open,Rafael Nadal,Novak Djokovic,Maria Sharapova,Simona Halep,
2014,Australian Open,Stan Wawrinka,Rafael Nadal,Li Na,Dominika Cibulkova,
2013,U.S. Open,Rafael Nadal,Novak Djokovic,Serena Williams,Victoria Azarenka,
2013,Wimbledon,Andy Murray,Novak Djokovic,Marion Bartoli,Sabine Lisicki,
2013,French Open,Rafael Nadal,David Ferrer,Serena Williams,Maria Sharapova,
2013,Australian Open,Novak Djokovic,Andy Murray,Victoria Azarenka,Li Na,
2012,U.S. Open,Andy Murray,Novak Djokovic,Serena Williams,Victoria Azarenka,
2012,Wimbledon,Roger Federer,Andy Murray,Serena Williams,Agnieszka Radwanska,
2012,French Open,Rafael Nadal,Novak Djokovic,Maria Sharapova,Sara Errani,
2012,Australian Open,Novak Djokovic,Rafael Nadal,Victoria Azarenka,Maria Sharapova,
2011,U.S. Open,Novak Djokovic,Rafael Nadal,Samantha Stosur,Serena Williams,
2011,Wimbledon,Novak Djokovic,Rafael Nadal,Petra Kvitova,Maria Sharapova,
2011,French Open,Rafael Nadal,Roger Federer,Li Na,Francesca Schiavone,
2011,Australian Open,Novak Djokovic,Andy Murray,Kim Clijsters,Li Na,
2010,U.S. Open,Rafael Nadal,Novak Djokovic,Kim Clijsters,Vera Zvonareva,
2010,Wimbledon,Rafael Nadal,Tomas Berdych,Serena Williams,Vera Zvonareva,
2010,French Open,Rafael Nadal,Robin Soderling,Francesca Schiavone,Samantha Stosur,
2010,Australian Open,Roger Federer,Andy Murray,Serena Williams,Justine Henin,
2009,U.S. Open,Juan Martin del Potro,Roger Federer,Kim Clijsters,Caroline Wozniacki,
2009,Wimbledon,Roger Federer,Andy Roddick,Serena Williams,Venus Williams,
2009,French Open,Roger Federer,Robin Soderling,Svetlana Kuznetsova,Dinara Safina,
2009,Australian Open,Rafael Nadal,Roger Federer,Serena Williams,Dinara Safina,
2008,U.S. Open,Roger Federer,Andy Murray,Serena Williams,Jelena Jankovic,
2008,Wimbledon,Rafael Nadal,Roger Federer,Venus Williams,Serena Williams,
2008,French Open,Rafael Nadal,Roger Federer,Ana Ivanovic,Dinara Safina,
2008,Australian Open,Novak Djokovic,Jo-Wilfried Tsonga,Maria Sharapova,Ana Ivanovic,
2007,U.S. Open,Roger Federer,Novak Djokovic,Justine Henin,Svetlana Kuznetsova,
2007,Wimbledon,Roger Federer,Rafael Nadal,Venus Williams,Marion Bartoli,
2007,French Open,Rafael Nadal,Roger Federer,Justine Henin,Ana Ivanovic,
2007,Australian Open,Roger Federer,Fernando Gonzalez,Serena Williams,Maria Sharapova,
2006,U.S. Open,Roger Federer,Andy Roddick,Maria Sharapova,Justine Henin-Hardenne,
2006,Wimbledon,Roger Federer,Rafael Nadal,Amelie Mauresmo,Justine Henin-Hardenne,
2006,French Open,Rafael Nadal,Roger Federer,Justine Henin-Hardenne,Svetlana Kuznetsova,
2006,Australian Open,Roger Federer,Marcos Baghdatis,Amelie Mauresmo,Justine Henin-Hardenne,
2005,U.S. Open,Roger Federer,Andre Agassi,Kim Clijsters,Mary Pierce,
2005,Wimbledon,Roger Federer,Andy Roddick,Venus Williams,Lindsay Davenport,
2005,French Open,Rafael Nadal,Mariano Puerta,Justine Henin-Hardenne,Mary Pierce,
2005,Australian Open,Marat Safin,Lleyton Hewitt,Serena Williams,Lindsay Davenport,
2004,U.S. Open,Roger Federer,Lleyton Hewitt,Svetlana Kuznetsova,Elena Dementieva,
2004,Wimbledon,Roger Federer,Andy Roddick,Maria Sharapova,Serena Williams,
2004,French Open,Gaston Gaudio,Guillermo Coria,Anastasia Myskina,Elena Dementieva,
2004,Australian Open,Roger Federer,Marat Safin,Justine Henin-Hardenne,Kim Clijsters,
2003,U.S. Open,Andy Roddick,Juan Carlos Ferrero,Justine Henin-Hardenne,Kim Clijsters,
2003,Wimbledon,Roger Federer,Mark Philippoussis,Serena Williams,Venus Williams,
2003,French Open,Juan Carlos Ferrero,Martin Verkerk,Justine Henin-Hardenne,Kim Clijsters,
2003,Australian Open,Andre Agassi,Rainer Schuettler,Serena Williams,Venus Williams,
2002,U.S. Open,Pete Sampras,Andre Agassi,Serena Williams,Venus Williams,
2002,Wimbledon,Lleyton Hewitt,David Nalbandian,Serena Williams,Venus Williams,
2002,French Open,Albert Costa,Juan Carlos Ferrero,Serena Williams,Venus Williams,
2002,Australian Open,Thomas Johannson,Marat Safin,Jennifer Capriati,Martina Hingis,
2001,U.S. Open,Lleyton Hewitt,Pete Sampras,Venus Williams,Serena Williams,
2001,Wimbledon,Goran Ivanisevic,Patrick Rafter,Venus Williams,Justine Henin,
2001,French Open,Gustavo Kuerten,Alex Corretja,Jennifer Capriati,Kim Clijsters,
2001,Australian Open,Andre Agassi,Arnaud Clement,Jennifer Capriati,Martina Hingis,
2000,U.S. Open,Marat Safin,Pete Sampras,Venus Williams,Lindsay Davenport,
2000,Wimbledon,Pete Sampras,Patrick Rafter,Venus Williams,Lindsay Davenport,
2000,French Open,Gustavo Kuerten,Magnus Norman,Mary Pierce,Conchita Martinez,
2000,Australian Open,Andre Agassi,Yevgeny Kafelnikov,Lindsay Davenport,Martina Hingis,
1999,U.S. Open,Andre Agassi,Todd Martin,Serena Williams,Martina Hingis,
1999,Wimbledon,Pete Sampras,Andre Agassi,Lindsay Davenport,Steffi Graf,
1999,French Open,Andre Agassi,Andre Medvedev,Steffi Graf,Martina Hingis,
1999,Australian Open,Yevgeny Kafelnikov,Thomas Enqvist,Martina Hingis,Amelie Mauresmo,
1998,U.S. Open,Patrick Rafter,Mark Philippoussis,Lindsay Davenport,Martina Hingis,
1998,Wimbledon,Pete Sampras,Goran Ivanisevic,Jana Novotna,Nathalie Tauziat,
1998,French Open,Carlos Moya,Alex Corretja,Aranxta Sanchez-Vicario,Monica Seles,
1998,Australian Open,Petr Korda,Marcelo Rios,Martina Hingis,Conchita Martinez,
1997,U.S. Open,Patrick Rafter,Greg Rusedski,Martina Hingis,Venus Williams,
1997,Wimbledon,Pete Sampras,Cedric Pioline,Martina Hingis,Jana Novotna,
1997,French Open,Gustavo Kuerten,Sergi Bruguera,Iva Majoli,Martina Hingis,
1997,Australian Open,Pete Sampras,Carlos Moya,Martina Hingis,Mary Pierce,
1996,U.S. Open,Pete Sampras,Michael Chang,Steffi Graf,Monica Seles,
1996,Wimbledon,Richard Krajicek,MaliVai Washington,Steffi Graf,Arantxa Sanchez-Vicario,
1996,French Open,Yevgeny Kafelnikov,Michael Stich,Steffi Graf,Arantxa Sanchez-Vicario,
1996,Australian Open,Boris Becker,Michael Chang,Monica Seles,Anke Huber,
1995,U.S. Open,Pete Sampras,Andre Agassi,Steffi Graf,Monica Seles,
1995,Wimbledon,Pete Sampras,Boris Becker,Steffi Graf,Arantxa Sanchez-Vicario,
1995,French Open,Thomas Muster,Michael Chang,Steffi Graf,Arantxa Sanchez-Vicario,
1995,Australian Open,Andre Agassi,Pete Sampras,Mary Pierce,Arantxa Sanchez-Vicario,
1994,U.S. Open,Andre Agassi,Michael Stich,Aranxta Sanchez-Vicario,Steffi Graf,
1994,Wimbledon,Pete Sampras,Goran Ivanisevic,Conchita Martinez,Martina Navratilova,
1994,French Open,Sergi Bruguera,Alberto Berasategui,Aranxta Sanchez-Vicario,Mary Pierce,
1994,Australian Open,Pete Sampras,Todd Martin,Steffi Graf,Arantxa Sanchez-Vicario,
1993,U.S. Open,Pete Sampras,Cedric Pioline,Steffi Graf,Helena Sukova,
1993,Wimbledon,Pete Sampras,Jim Courier,Steffi Graf,Jana Novotna,
1993,French Open,Sergi Bruguera,Jim Courier,Steffi Graf,Mary Jo Fernandez,
1993,Australian Open,Jim Courier,Stefan Edberg,Monica Seles,Steffi Graf,
1992,U.S. Open,Stefan Edberg,Pete Sampras,Monica Seles,Arantxa Sanchez-Vicario,
1992,Wimbledon,Andre Agassi,Goran Ivanisevic,Steffi Graf,Monica Seles,
1992,French Open,Jim Courier,Petr Korda,Monica Seles,Steffi Graf,
1992,Australian Open,Jim Courier,Stefan Edberg,Monica Seles,Mary Joe Fernandez,
1991,U.S. Open,Stefan Edberg,Jim Courier,Monica Seles,Martina Navratilova,
1991,Wimbledon,Michael Stich,Boris Becker,Steffi Graf,Gabriela Sabatini,
1991,French Open,Jim Courier,Andre Agassi,Monica Seles,Arantxa Sanchez-Vicario,
1991,Australian Open,Boris Becker,Ivan Lendl,Monica Seles,Jana Novotna,
1990,U.S. Open,Pete Sampras,Andre Agassi,Gabriela Sabatini,Steffi Graf,
1990,Wimbledon,Stefan Edberg,Boris Becker,Martina Navratilova,Zena Garrison,
1990,French Open,Andres Gomez,Andre Agassi,Monica Seles,Steffi Graf,
1990,Australian Open,Ivan Lendl,Stefan Edberg,Steffi Graf,Mary Joe Fernandez,
1989,U.S. Open,Boris Becker,Ivan Lendl,Steffi Graf,Martina Navratilova,
1989,Wimbledon,Boris Becker,Stefan Edberg,Steffi Graf,Martina Navratilova,
1989,French Open,Michael Chang,Stefan Edberg,Aranxta Sanchez-Vicario,Steffi Graf,
1989,Australian Open,Ivan Lendl,Miloslav Mecir,Steffi Graf,Helena Sukova,
1988,U.S. Open,Mats Wilander,Ivan Lendl,Steffi Graf,Gabriela Sabatini,
1988,Wimbledon,Stefan Edberg,Boris Becker,Steffi Graf,Martina Navratilova,
1988,French Open,Mats Wilander,Henri Leconte,Steffi Graf,Natasha Zvereva,
1988,Australian Open,Mats Wilander,Pat Cash,Steffi Graf,Chris Evert,
1987,U.S. Open,Ivan Lendl,Mats Wilander,Martina Navratilova,Steffi Graf,
1987,Wimbledon,Pat Cash,Ivan Lendl,Martina Navratilova,Steffi Graf,
1987,French Open,Ivan Lendl,Mats Wilander,Steffi Graf,Martina Navratilova,
1987,Australian Open,Stefan Edberg,Pat Cash,Hana Mandlikova,Martina Navratilova,
1986,U.S. Open,Ivan Lendl,Miloslav Mecir,Martina Navratilova,Helena Sukova,
1986,Wimbledon,Boris Becker,Ivan Lendl,Martina Navratilova,Hana Mandlikova,
1986,French Open,Ivan Lendl,Mikael Pernfors,Chris Evert-Lloyd,Martina Navratilova,
1985,Australian Open,Stefan Edberg,Mats Wilander,Martina Navratilova,Chris Evert,
1985,U.S. Open,Ivan Lendl,John McEnroe,Hana Mandlikova,Martina Navratilova,
1985,Wimbledon,Boris Becker,Kevin Curren,Martina Navratilova,Chris Evert-Lloyd,
1985,French Open,Mats Wilander,Ivan Lendl,Chris Evert-Lloyd,Martina Navratilova,
1984,Australian Open,Mats Wilander,Kevin Curren,Chris Evert-Lloyd,Helena Sukova,
1984,U.S. Open,John McEnroe,Ivan Lendl,Martina Navratilova,Chris Evert-Lloyd,
1984,Wimbledon,John McEnroe,Jimmy Connors,Martina Navratilova,Chris Evert-Lloyd,
1984,French Open,Ivan Lendl,John McEnroe,Martina Navratilova,Chris Evert-Lloyd,
1983,Australian Open,Mats Wilander,Ivan Lendl,Martina Navratilova,Kathy Jordan,
1983,U.S. Open,Jimmy Connors,Ivan Lendl,Martina Navratilova,Chris Evert-Lloyd,
1983,Wimbledon,John McEnroe,Chris Lewis,Martina Navratilova,Andrea Jaeger,
1983,French Open,Yannick Noah,Mats Wilander,Chris Evert-Lloyd,Mima Jausovec,
1982,Australian Open,Johan Kriek,Steve Denton,Chris Evert-Lloyd,Martina Navratilova,
1982,U.S. Open,Jimmy Connors,Ivan Lendl,Chris Evert-Lloyd,Hana Mandlikova,
1982,Wimbledon,Jimmy Connors,John McEnroe,Martina Navratilova,Chris Evert-Lloyd,
1982,French Open,Mats Wilander,Guillermo Vilas,Martina Navratilova,Andrea Jaeger,
1981,Australian Open,Johan Kriek,Steve Denton,Martina Navratilova,Chris Evert,
1981,U.S. Open,John McEnroe,Bjorn Borg,Tracy Austin,Martina Navratilova,
1981,Wimbledon,John McEnroe,Bjorn Borg,Chris Evert-Lloyd,Hana Mandlikova,
1981,French Open,Bjorn Borg,Ivan Lendl,Hana Mandlikova,Sylvia Hanika,
1980,Australian Open,Brian Teacher,Kim Warwick,Hana Mandlikova,Wendy Turnbull,
1980,U.S. Open,John McEnroe,Bjorn Borg,Chris Evert-Lloyd,Hana Mandlikova,
1980,Wimbledon,Bjorn Borg,John McEnroe,R.A. Cawley,Chris Evert-Lloyd,
1980,French Open,Bjorn Borg,Vitas Gerulaitis,Chris Evert-Lloyd,Sylvia Hanika,
1979,Australian Open,Guillermo Vilas,John Sadri,Barbara Jordan,Sharon Walsh,
1979,U.S. Open,John McEnroe,Vitas Gerulaitis,Tracy Austin,Chris Evert-Lloyd,
1979,Wimbledon,Bjorn Borg,Roscoe Tanner,Martina Navratilova,Chris Evert-Lloyd,
1979,French Open,Bjorn Borg,Victor Pecci,Chris Evert-Lloyd,Wendy Turnbull,
1978,Australian Open,Guillermo Vilas,John Marks,Chris O'Neil,Betsy Nagelsen,
1978,U.S. Open,Jimmy Connors,Bjorn Borg,Chris Evert,Pam Shriver,
1978,Wimbledon,Bjorn Borg,Jimmy Connors,Martina Navratilova,Chris Evert,
1978,French Open,Bjorn Borg,Guillermo Vilas,Virginia Ruzici,Mima Jausovec,
1977,Australian Open (Dec),Vitas Gerulaitis,John Lloyd,Evonne Goolagong-Cawley,Helen Gourlay,
1977,U.S. Open,Guillermo Vilas,Jimmy Connors,Chris Evert,Wendy Turnbull,
1977,Wimbledon,Bjorn Borg,Jimmy Connors,Virginia Wade,Betty Stove,
1977,French Open,Guillermo Vilas,Brian Gottfried,Mima Jausovec,Florenta Mihai,
1977,Australian Open (Jan),Roscoe Tanner,Guillermo Vilas,Kerry Reid,Dianne Fromholtz,
1976,U.S. Open,Jimmy Connors,Bjorn Borg,Chris Evert,Evonne Goolagong-Cawley,
1976,Wimbledon,Bjorn Borg,Ilie Nastase,Chris Evert,Evonne Goolagong-Cawley,
1976,French Open,Adriano Panatta,Harold Soloman,Sue Barker,Renata Tomanova,
1976,Australian Open,Mark Edmondson,John Newcombe,Evonne Goolagong-Cawley,Renata Tomanova,
1975,U.S. Open,Manuel Orantes,Jimmy Connors,Chris Evert,Evonne Goolagong-Cawley,
1975,Wimbledon,Arthur Ashe,Jimmy Connors,Billie Jean King,Evonne Goolagong-Cawley,
1975,French Open,Bjorn Borg,Guillermo Vilas,Chris Evert,Martina Navratilova,
1975,Australian Open,John Newcombe,Jimmy Connors,Evonne Goolagong,Martina Navratilova,
1974,U.S. Open,Jimmy Connors,Ken Rosewall,Billie Jean King,Evonne Goolagong,
1974,Wimbledon,Jimmy Connors,Ken Rosewall,Chris Evert,Olga Morozova,
1974,French Open,Bjorn Borg,Manuel Orantes,Chris Evert,Olga Morozova,
1974,Australian Open,Jimmy Connors,Phil Dent,Evonne Goolagong,Chris Evert,
1973,U.S. Open,John Newcombe,Jan Kodes,Margaret Smith-Court,Evonne Goolagong,
1973,Wimbledon,Jan Kodes,Alex Metreveli,Billie Jean King,Chris Evert,
1973,French Open,Ilie Nastase,Nikola Pilic,Margaret Smith-Court,Chris Evert,
1973,Australian Open,John Newcombe,Onny Parun,Margaret Smith-Court,Evonne Goolagong,
1972,U.S. Open,Ilie Nastase,Arthur Ashe,Billie Jean King,Kerry Melville,
1972,Wimbledon,Stan Smith,Ilie Nastase,Billie Jean King,Evonne Goolagong,
1972,French Open,Andres Gimeno,Patrick Proisy,Billie Jean King,Evonne Goolagong,
1972,Australian Open,Ken Rosewall,Mal Anderson,Virginia Wade,Evonne Goolagong,
1971,U.S. Open,Stan Smith,Jan Kodes,Billie Jean King,Rosemary Casals,
1971,Wimbledon,John Newcombe,Stan Smith,Evonne Goolagong,Margaret Court,
1971,French Open,Jan Kodes,Ilie Nastase,Evonne Goolagong,Helen Gourlay,
1971,Australian Open,Ken Rosewall,Arthur Ashe,Margaret Smith-Court,Evonne Goolagong,
1970,U.S. Open,Ken Rosewall,Tony Roche,Margaret Smith-Court,Rosemary Casals,
1970,Wimbledon,John Newcombe,Ken Rosewall,Margaret Smith-Court,Billie Jean King,
1970,French Open,Jan Kodes,Zeljiko Franulovic,Margaret Smith-Court,Helga Niessen,
1970,Australian Open,Arthur Ashe,Dick Crealy,Margaret Smith-Court,Kerry Melville,
1969,U.S. Open,Rod Laver,Tony Roche,Margaret Smith-Court,Nancy Richey,
1969,Wimbledon,Rod Laver,John Newcombe,Ann Haydon Jones,Billie Jean King,
1969,French Open,Rod Laver,Ken Rosewall,Margaret Smith-Court,Ann Jones,
1969,Australian Open,Rod Laver,Andres Gimeno,Margaret Smith-Court,Billie Jean King,
1968,U.S. Open,Arthur Ashe,Tom Okker,Virginia Wade,Billie Jean King,
1968,Wimbledon,Rod Laver,Tony Roche,Billie Jean King,Judy Tegart,
1968,French Open,Ken Rosewall,Rod Laver,Nancy Richey,Ann Jones,
1968,Australian Open,Bill Bowrey,Juan Gisbert,Billie Jean King,Margaret Smith-Court,
1967,U.S. Open,John Newcombe,Clark Graebner,Billie Jean King,Ann Haydon Jones,
1967,Wimbledon,John Newcombe,Wilhelm Bungert,Billie Jean King,Ann Jones,
1967,French Open,Roy Emerson,Tony Roche,Francoise Durr,Lesley Turner,
1967,Australian Open,Roy Emerson,Arthur Ashe,Nancy Richey,Lesley Turner,
1966,U.S. Open,Fred Stolle,John Newcombe,Maria Bueno,Nancy Richey,
1966,Wimbledon,Manuel Santana,Dennis Ralston,Billie Jean King,Maria Bueno,
1966,French Open,Tony Roche,Istvan Gulyas,Ann Haydon Jones,Nancy Richey,
1966,Australian Open,Roy Emerson,Arthur Ashe,Margaret Smith,Nancy Richey,
1965,U.S. Open,Manuel Santana,Cliff Drysdale,Margaret Smith,Billie Jean Moffitt,
1965,Wimbledon,Roy Emerson,Fred Stolle,Margaret Smith,Maria Bueno,
1965,French Open,Fred Stolle,Tony Roche,Lesley Turner,Margaret Smith,
1965,Australian Open,Roy Emerson,Fred Stolle,Margaret Smith,Maria Bueno,
1964,U.S. Open,Roy Emerson,Fred Stolle,Maria Bueno,Carole Caldwell Graebner,
1964,Wimbledon,Roy Emerson,Fred Stolle,Maria Bueno,Margaret Smith,
1964,French Open,Manuel Santana,Nicola Pietrangeli,Margaret Smith,Maria Bueno,
1964,Australian Open,Roy Emerson,Fred Stolle,Margaret Smith,Lesley Turner,
1963,U.S. Open,Rafael Osuna,"Frank Froehling, III",Maria Bueno,Margaret Smith,
1963,Wimbledon,C.R. McKinley,Fred Stolle,Margaret Smith,Billie Jean Moffitt,
1963,French Open,Roy Emerson,Pierre Darmon,Lesley Turner,Ann Jones,
1963,Australian Open,Roy Emerson,Ken Fletcher,Margaret Smith,Jan Lehane,
1962,U.S. Open,Rod Laver,Roy Emerson,Margaret Smith,Darlene R. Hard,
1962,Wimbledon,Rod Laver,Martin Mulligan,Karen Susman,Vera Sukova,
1962,French Open,Rod Laver,Roy Emerson,Margaret Smith,Lesley Turner,
1962,Australian Open,Rod Laver,Roy Emerson,Margaret Smith,Jan Lehane,
1961,U.S. Open,Roy Emerson,Rod Laver,Darlene R. Hard,Ann Haydon,
