Year,Tournament,Mens_Winner,Mens_RunnerUp,Womens_Winner,Womens_RunnerUp,
1961,Wimbledon,Rod Laver,Chuck McKinley,Angela Mortimer,Christine Truman,
1961,French Open,Manuel Santana,Nicola Pietrangeli,Ann Haydon,Yola Ramirez,
1961,Australian Open,Roy Emerson,Rod Laver,Margaret Smith,Jan Lehane,
1960,U.S. Open,Neale Fraser,Rod Laver,Darlene R. Hard,Maria Bueno,
1960,Wimbledon,Neale Fraser,Rod Laver,Maria Bueno,Sandra Reynolds,
1960,French Open,Nicola Pietrangeli,Luis Ayala,Darlene R. Hard,Yola Ramirez,
1960,Australian Open,Rod Laver,Neale Fraser,Margaret Smith,Jan Lehane,
1959,U.S. Open,Neale Fraser,Alejandro Olmedo,Maria Bueno,Christine Truman,
1959,Wimbledon,Alejandro Olmedo,Rod Laver,Maria Bueno,Darlene Hard,
1959,French Open,Nicola Pietrangeli,Ian Vermaak,Christine Truman,Zsuzsi Kormoczy,
1959,Australian Open,Alex Olmedo,Neale Fraser,Mary Carter Reitano,Renee Schuurman,
1958,U.S. Open,Ashley J. Cooper,Malcolm J. Anderson,Althea Gibson,Darlene R. Hard,
1958,Wimbledon,Ashley J. Cooper,Neale Fraser,Althea Gibson,Angela Mortimer,
1958,French Open,Mervyn Rose,Luis Ayala,Zsuzsi Kormoczy,Shirley Bloomer,
1958,Australian Open,Ashley J. Cooper,Mal Anderson,Angela Mortimer,Lorraine Coghlan,
1957,U.S. Open,Malcolm J. Anderson,Ashley J. Cooper,Althea Gibson,A. Louise Brough,
1957,Wimbledon,Lewis Hoad,Ashley Cooper,Althea Gibson,Darlene Hard,
1957,French Open,Sven Davidson,Herbert Flam,Shirley Bloomer,Dorothy Head Knode,
1957,Australian Open,Ashley J. Cooper,Neale Fraser,Shirley Fry,Althea Gibson,
1956,U.S. Open,Ken Rosewall,Lewis Hoad,Shirley Fry,Althea Gibson,
1956,Wimbledon,Lewis Hoad,Ken Rosewall,Shirley Fry,Angela Buxton,
1956,French Open,Lewis Hoad,Sven Davidson,Althea Gibson,Angela Mortimer,
1956,Australian Open,Lewis Hoad,Ken Rosewall,Mary Carter,Thelma Long,
1955,U.S. Open,Tony Trabert,Ken Rosewall,Doris Hart,Patricia Ward,
1955,Wimbledon,Tony Trabert,Kurt Nielsen,Louise Brough,Beverly Fleitz,
1955,French Open,Tony Trabert,Sven Davidson,Angela Mortimer,Dorothy Head Knode,
1955,Australian Open,Ken Rosewall,Lew Hoad,Beryl Penrose,Thelma Long,
1954,U.S. Open,E. Victor Seixas Jr.,Rex Hartwig,Doris Hart,A. Louise Brough,
1954,Wimbledon,Jaroslav Drobny,Ken Rosewall,Maureen Connolly,Louise Brough,
1954,French Open,Tony Trabert,Sven Davidson,Maureen Connolly,Ginette Bucaille,
1954,Australian Open,Mervyn Rose,Rex Hartwig,Thelma Long,Jennifer Staley,
1953,U.S. Open,Tony Trabert,"E. Victor Seixas, Jr.",Maureen Connolly,Doris Hart,
1953,Wimbledon,E. Victor Seixas Jr.,Kurt Nielsen,Maureen Connolly,Doris Hart,
1953,French Open,Ken Rosewall,"E. Victor Seixas, Jr.",Maureen Connolly,Doris Hart,
1953,Australian Open,Ken Rosewall,Mervyn Rose,Maureen Connolly,Julia Sampson,
1952,U.S. Open,Frank Sedgman,Gardnar Mulloy,Maureen Connolly,Doris Hart,
1952,Wimbledon,Frank Sedgman,Jaroslav Drobny,Maureen Connolly,Louise Brough,
1952,French Open,Jaroslav Drobny,Frank Sedgman,Doris Hart,Shirley Fry,
1952,Australian Open,Ken McGregor,Frank Sedgman,Thelma Long,H. Angwin,
1951,U.S. Open,Frank Sedgman,"E. Victor Seixas, Jr.",Maureen Connolly,Shirley Fry,
1951,Wimbledon,R. Savitt,Ken McGregor,Doris Hart,Shirley Fry,
1951,French Open,Jaroslav Drobny,Eric Sturgess,Shirley Fry,Doris Hart,
1951,Australian Open,Dick Savitt,Ken McGregor,Nancye Wynne Bolton,Thelma Long-Coyne,
1950,U.S. Open,Arthur Larsen,Herbert Flam,Margaret Osborne duPont,Doris Hart,
1950,Wimbledon,J.E. Patty,Frank Sedgman,Louise Brough,Margaret Osborne duPont,
1950,French Open,Budge Patty,Jaroslav Drobny,Doris Hart,Patricia Todd,
1950,Australian Open,Frank Sedgman,Ken McGregor,A. Louise Brough,Doris Hart,
1949,U.S. Open,Richard A. Gonzales,Frederick Schroeder,Margaret Osborne duPont,Doris Hart,
1949,Wimbledon,F.R. Schroeder,Jaroslav Drobny,Louise Brough,Margaret Osborne duPont,
1949,French Open,Frank Parker,Budge Patty,Margaret Osborne duPont,Nelly Adamson,
1949,Australian Open,Frank Sedgman,John Bromwich,Doris Hart,Nancye Bolton,
1948,U.S. Open,Richard A. Gonzales,Eric W. Sturgess,Margaret Osborne duPont,A. Louise Brough,
1948,Wimbledon,R. Falkenburg,John Bromwich,Louise Brough,Doris Hart,
1948,French Open,Frank Parker,Jaroslav Drobny,Nelly Landry,Shirley Fry,
1948,Australian Open,Adrian Quist,John Bromwich,Nancye Wynne Bolton,Marie Toomey,
1947,U.S. Open,Jack Kramer,Frank Parker,A. Louise Brough,Margaret Osborne,
1947,Wimbledon,Jack Kramer,Tom P. Brown,Margaret Osborne duPont,Doris Hart,
1947,French Open,Jozsef Asboth,Eric Sturgess,Patricia Todd,Doris Hart,
1947,Australian Open,Dinny Pails,John Bromwich,Nancye Wynne Bolton,Nell Hopman,
1946,U.S. Open,Jack Kramer,"Tom Brown, Jr.",Pauline Betz,Patricia Canning,
1946,Wimbledon,Yvon Petra,Geoff E. Brown,Pauline Betz,Louise Brough,
1946,French Open,Marcel Bernard,Jaroslav Drobny,Margaret Osborne duPont,Pauline Betz,
1946,Australian Open,John Bromwich,Dinny Pails,Nancye Wynne Bolton,Joyce Fitch,
1945,U.S. Open,Frank Parker,William F. Talbert,Sarah Palfrey Cooke,Pauline Betz,
1944,U.S. Open,Frank Parker,William F. Talbert,Pauline Betz,Margaret Osborne,
1943,U.S. Open,Lt. Joseph R. Hunt,Seaman Jack Kramer,Pauline Betz,A. Louise Brough,
1942,U.S. Open,"Frederick R. Schroeder, Jr.",Frank Parker,Pauline Betz,A. Louise Brough,
1941,U.S. Open,Robert Riggs,"Francis Kovacs, 2d",Sarah Palfrey Cooke,Pauline Betz,
1940,U.S. Open,Donald McNeill,Robert Riggs,Alice Marble,Helen Jacobs,
1940,Australian Open,Adrian Quist,Jack Crawford,Nancye Wynne Bolton,Thelma Coyne,
1939,U.S. Open,Robert Riggs,S. Welby van Horn,Alice Marble,Helen Jacobs,
1939,Wimbledon,Robert Riggs,Elwood Cooke,Alice Marble,Kay Stammers,
1939,French Open,William McNeill,Robert Riggs,Simone Mathieu,Jadwiga Jedrzejowska,
1939,Australian Open,John Bromwich,Adrian Quist,Emily Westacott,Nell Hopman,
1938,U.S. Open,Donald Budge,C. Gene Mako,Alice Marble,Nancye Wynne,
1938,Wimbledon,Donald Budge,Henry Austin,Helen Wills Moody,Helen Jacobs,
1938,French Open,Donald Budge,Roderik Menzel,Simone Mathieu,Nelly Adamson,
1938,Australian Open,Donald Budge,John Bromwich,Dorothy Bundy,Dorothy Stevenson,
1937,U.S. Open,Donald Budge,Gottfried Von Cramm,Anita Lizana,Jadwiga Jedrzejowska,
1937,Wimbledon,Donald Budge,Gottfried Von Cramm,Dorothy Round,Jadwiga Jedrzejowska,
1937,French Open,Henner Henkel,Henry Austin,Hilde Sperling,Simone Mathieu,
1937,Australian Open,Vivian McGrath,John Bromwich,Nancye Wynne,Emily Westacott,
1936,U.S. Open,Fred Perry,J. Donald Budge,Alice Marble,Helen Jacobs,
1936,Wimbledon,Fred Perry,Gottfried Von Cramm,Helen Jacobs,Hilde Kranwinkel Sperling,
1936,French Open,Gottfried Von Cramm,Fred Perry,Hilde Sperling,Simone Mathieu,
1936,Australian Open,Adrian Quist,Jack Crawford,Joan Hartigan,Nancye Wynne,
1935,U.S. Open,Wilmer L. Allison,Sidney B. Wood,Helen Jacobs,Sarah H. Palfrey,
1935,Wimbledon,Fred Perry,Gottfried Von Cramm,Helen Wills Moody,Helen Jacobs,
1935,French Open,Fred Perry,Gottfried von Cramm,Hilde Sperling,Simone Mathieu,
1935,Australian Open,Jack Crawford,Fred Perry,Dorothy Round,Nancy Lyle,
1934,U.S. Open,Fred Perry,Wilmer L. Allison,Helen Jacobs,Sarah H. Palfrey,
1934,Wimbledon,Fred Perry,Jack Crawford,Dorothy Round,Helen Jacobs,
1934,French Open,Gottfried Von Cramm,Jack Crawford,Margaret Scriven,Helen Jacobs,
1934,Australian Open,Fred Perry,Jack Crawford,Joan Hartigan,Margaret Molesworth,
1933,U.S. Open,Fred Perry,John H. Crawford,Helen Jacobs,Helen Wills Moody,
1933,Wimbledon,Jack Crawford,Ellsworth Vines,Helen Wills Moody,Dorothy Round,
1933,French Open,John Crawford,Henri Cochet,Margaret Scriven,Simone Mathieu,
1933,Australian Open,Jack Crawford,Keith Gledhill,Joan Hartigan,Coral Buttsworth,
1932,U.S. Open,H. Ellsworth Vines,Henri Cochet,Helen Jacobs,Carolin A. Babcock,
1932,Wimbledon,H. Ellsworth Vines,Henry Austin,Helen Wills Moody,Helen Jacobs,
1932,French Open,Henri Cochet,Giorgo de Stefani,Helen Wills Moody,Simone Mathieu,
1932,Australian Open,Jack Crawford,Harry Hopman,Coral Buttsworth,Katherine Le Messurier,
1931,U.S. Open,H. Ellsworth Vines,"George M. Lott, Jr.",Helen Wills Moody,Eileen Bennett Whitingstall,
1931,Wimbledon,S.B. Wood,Francis X. Shields,Cilly Aussem,Hilde Kranwinkel,
1931,French Open,Jean Borotra,Christian Boussus,Cilly Aussem,Betty Nuthall,
1931,Australian Open,Jack Crawford,Harry Hopman,Coral Buttsworth,Margorie Crawford,
1930,U.S. Open,John H. Doeg,Francis X. Shields,Betty Nuthall,Anna McCune Harper,
1930,Wimbledon,William T. Tilden,Wilmer Allison,Helen Wills Moody,Elizabeth Ryan,
1930,French Open,Henri Cochet,William Tilden,Helen Wills Moody,Helen Jacobs,
1930,Australian Open,Gar Moon,Harry Hopman,Daphne Akhurst,Sylvia Harper,
1929,U.S. Open,William T. Tilden,Francis T. Hunter,Helen Wills,Phoebe Holcroft Watson,
1929,Wimbledon,Henri Cochet,Jean Borotra,Helen Wills,Helen Jacobs,
1929,French Open,Rene Lacoste,Jean Borotra,Helen Wills,Simone Mathieu,
1929,Australian Open,John Gregory,Richard Schlesinger,Daphne Akhurst,Louise Bickerton,
1928,U.S. Open,Henri Cochet,Francis T. Hunter,Helen Wills,Helen J. Jacobs,
1928,Wimbledon,Rene Lacoste,Henri Cochet,Helen Wills,Lili de Alvarez,
1928,French Open,Henri Cochet,René Lacoste,Helen Wills,E. Bennett,
1928,Australian Open,Jean Borotra,R.Cummings,Daphne Akhurst,Esna Boyd,
1927,U.S. Open,Rene Lacoste,William T. Tilden,Helen Wills,Betty Nuthall,
1927,Wimbledon,Henri Cochet,Jean Borotra,Helen Wills,Lili de Alvarez,
1927,French Open,Rene Lacoste,William Tilden,Kornelia Bouman,Irene Peacock,
1927,Australian Open,Gerald Patterson,John Hawkes,Esna Boyd,Sylvia Harper,
1926,U.S. Open,Rene Lacoste,Jean Borotra,Molla B. Mallory,Elizabeth Ryan,
1926,Wimbledon,Jean Borotra,Howard Kinsey,Kathleen Godfree,Lili de Alvarez,
1926,French Open,Henri Cochet,René Lacoste,Suzanne Lenglen,Mary Browne,
1926,Australian Open,John Hawkes,Jim Willard,Daphne Akhurst,Esna Boyd,
1925,U.S. Open,William T. Tilden,William M. Johnston,Helen Wills,Kathleen McKane,
1925,Wimbledon,Rene Lacoste,Jean Borotra,Suzanne Lenglen,Joan Fry,
1925,French Open,Rene Lacoste,Jean Borotra,Suzanne Lenglen,Kathleen McKane,
1925,Australian Open,James Anderson,Gerald Patterson,Daphne Akhurst,Esna Boyd,
1924,U.S. Open,William T. Tilden,William M. Johnston,Helen Wills,Molla B. Mallory,
1924,Wimbledon,Jean Borotra,Rene Lacoste,Kathleen McKane,Helen Wills,
1924,French Open,Jean Borotra,René Lacoste,Diddie Vlasto,Jeanne Vaussard,
1924,Australian Open,James Anderson,Richard Schlesinger,Sylvia Lance,Esna Boyd,
1923,U.S. Open,William T. Tilden,William M. Johnston,Helen Wills,Molla B. Mallory,
1923,Wimbledon,William M. Johnston,Francis T. Hunter,Suzanne Lenglen,Kathleen McKane,
1923,French Open,Francois Blanchy,Max Decugis,Suzanne Lenglen,Germaine Golding,
1923,Australian Open,Pat O'Hara Wood,C.St.John,Margaret Molesworth,Esna Boyd,
1922,U.S. Open,William T. Tilden,William M. Johnston,Molla B. Mallory,Helen Wills,
1922,Wimbledon,Gerald Patterson,Randolph Lycett,Suzanne Lenglen,Molla Mallory,
1922,French Open,Henri Cochet,Jean Samazeuilh,Suzanne Lenglen,Germaine Golding,
1922,Australian Open,Pat O'Hara Wood,Gerald Patterson,Margaret Molesworth,Esna Boyd,
1921,U.S. Open,William T. Tilden,William M. Johnston,Molla B. Mallory,Mary K. Browne,
1921,Wimbledon,William T. Tilden,Brian Norton,Suzanne Lenglen,Elizabeth Ryan,
1921,French Open,Jean Samazeuilh,André Gobert,Suzanne Lenglen,Germaine Golding,
1921,Australian Open,Rhys Gemmell,A. Hedeman,,,
1920,U.S. Open,William T. Tilden,William M. Johnston,Molla B. Mallory,Marion Zinderstein,
1920,Wimbledon,William T. Tilden,Gerald Patterson,Suzanne Lenglen,Dorothea Douglass Chambers,
1920,French Open,Andre Gobert,Max Decugis,Suzanne Lenglen,Marguerite Broquedis,
1920,Australian Open,Pat O'Hara Wood,Ron Thomas,,,
1919,U.S. Open,William M. Johnston,William T. Tilden,Hazel Hotchkiss Wightman,Marion Zinderstein,
1919,Wimbledon,Gerald Patterson,Norman Brookes,Suzanne Lenglen,Dorothea Douglass Chambers,
1919,Australian Open,A.R.F. Kingscote,E. Pockley,,,
1918,U.S. Open,R. Lindley Murray,William T. Tilden,Molla Bjurstedt,Eleanor E. Goss,
1917,U.S. Open,R. Lindley Murray,Nathaniel W. Niles,Molla Bjurstedt,Marion Vanderhoef,
1916,U.S. Open,Richard N. Williams,William M. Johnston,Molla Bjurstedt,Louise Hammond Raymond,
1915,U.S. Open,William M. Johnston,Maurice E. McLoughlin,Molla Bjurstedt,Hazel Hotchkiss Wightman,
1915,Australian Open,Francis Lowe,Horace Rice,,,
1914,U.S. Open,Richard N. Williams,Maurice E. McLoughlin,Mary Browne,Marie Wagner,
1914,Wimbledon,Norman Brookes,Anthony Wilding,Lambert Chambers,Ethel Larcombe,
1914,French Open,Max Decugis,Jean Samazeuilh,Marguerite Broquedis,Suzanne Lenglen,
1914,Australian Open,Pat O'Hara Wood,Gerald Patterson,,,
1913,U.S. Open,Maurice E. McLoughlin,Richard N. Williams,Mary Browne,Dorothy Green,
1913,Wimbledon,Anthony Wilding,Maurice McLoughlin,Lambert Chambers,R. McNair,
1913,French Open,Max Decugis,Georges Gault,Marguerite Broquedis,Jeanne Matthey,
1913,Australian Open,E.F. Parker,Harry Parker,,,
1912,U.S. Open,Maurice E. McLoughlin,Wallace F. Johnson,Mary Browne,Eleonora Sears,
1912,Wimbledon,Anthony Wilding,Arthur Gore,Ethel Larcombe,Charlotte Cooper Sterry,
1912,French Open,Max Decugis,André Gobert,Jeanne Matthey,Marie Daney,
1912,Australian Open,Cecil Parke,A. Beamish,,,
1911,U.S. Open,William A. Larned,Maurice E. McLoughlin,Hazel Hotchkiss,Florence Sutton,
1911,Wimbledon,Anthony Wilding,H. Roper Barrett,Lambert Chambers,Dora Boothby,
1911,French Open,Andre Gobert,Maurice Germot,Jeanne Matthey,Marguerite Broquedis,
1911,Australian Open,Norman Brookes,Horace Rice,,,
1910,U.S. Open,William A. Larned,Thomas C. Bundy,Hazel Hotchkiss,Louise Hammond,
1910,Wimbledon,Anthony Wilding,Arthur Gore,Lambert Chambers,Dora Boothby,
1910,French Open,Maurice Germot,François Blanchy,Jeanne Matthey,Marguerite Broquedis,
1910,Australian Open,Rodney Heath,Horace Rice,,,
1909,U.S. Open,William A. Larned,William J. Clothier,Hazel Hotchkiss,Maud Barger-Wallach,
1909,Wimbledon,Arthur Gore,M.J.G. Ritchie,Dora Boothby,A. Morton,
1909,French Open,Max Decugis,Maurice Germot,Jeanne Matthey,Gallay,
1909,Australian Open,Tony Wilding,Ernie Parker,,,
1908,U.S. Open,William A. Larned,Beals C. Wright,Maud Barger Wallach,Evelyn Sears,
1908,Wimbledon,Arthur Gore,Roper Barrett,Charlotte Cooper Sterry,A. Morton,
1908,French Open,Max Decugis,Maurice Germot,Kate Gillou Fenwick,A. Pean,
1908,Australian Open,Fred Alexander,Alfred Dunlop,,,
1907,U.S. Open,William A. Larned,Robert LeRoy,Evelyn Sears,Carrie Neely,
1907,Wimbledon,Norman Brookes,Arthur Gore,May Sutton,Dorothea Douglass Chambers,
1907,French Open,Max Decugis,Robert Wallet,Comtesse de Kermel,D. Elva,
1907,Australian Open,Horace Rice,Harry Parker,,,
1906,U.S. Open,William A. Larned,Beals C. Wright,Helen Homans,Maud Barger-Wallach,
1906,Wimbledon,Laurie Doherty,Frank Riseley,Dorothea Douglass,May Sutton,
1906,French Open,Maurice Germot,Max Decugis,Kate Gillou Fenwick,MacVeagh,
1906,Australian Open,Tony Wilding,Harry Parker,,,
1905,U.S. Open,Beals C. Wright,Holcombe Ward,Elisabeth Moore,Helen Homans,
1905,Wimbledon,Laurie Doherty,Norman Brookes,May Sutton,Dorothea Douglass,
1905,French Open,Maurice Germot,André Vacherot,Kate Gillou,Y. De Pfoeffel,
1905,Australian Open,Rodney Heath,A. Curtis,,,
1904,U.S. Open,Holcombe Ward,William J. Clothier,May Sutton,Elisabeth Moore,
1904,Wimbledon,Laurie Doherty,Frank Riseley,Dorothea Douglass,Charlotte Cooper Sterry,
1904,French Open,Max Decugis,André Vacherot,Kate Gillou,Adine Masson,
1903,U.S. Open,Hugh L. Doherty,William A. Larned,Elisabeth Moore,Marion Jones,
1903,Wimbledon,Laurie Doherty,Frank Riseley,Dorothea Douglass,E. Thomson,
1903,French Open,Max Decugis,André Vacherot,F. Masson,Katie Gillou,
1902,U.S. Open,William A. Larned,Reginald F. Doherty,Marion Jones,Elisabeth Moore,
1902,Wimbledon,Laurie Doherty,Arthur Gore,Muriel Robb,Charlotte Cooper Sterry,
1902,French Open,M. Vacherot,Max Decugis,F. Masson,P. Girod,
1901,U.S. Open,William A. Larned,Beals C. Wright,Elisabeth Moore,Myrtle McAteer,
1901,Wimbledon,Arthur Gore,Reggie Doherty,Charlotte Cooper Sterry,Blanche Bingley Hillyard,
1901,French Open,Andre Vacherot,P. Lebreton,P. Girod,Leroux,
1900,U.S. Open,Malcolm D. Whitman,William A. Larned,Myrtle McAteer,Edith Parker,
1900,Wimbledon,Reggie Doherty,Sidney Smith,Blanche Bingley Hillyard,Charlotte Cooper,
1900,French Open,Paul Ayme,A. Prévost,Y. Prevost,xxx,
1899,U.S. Open,Malcolm D. Whitman,J. Parmly Paret,Marion Jones,Maud Banks,
1899,Wimbledon,Reggie Doherty,Arthur Gore,Blanche Bingley Hillyard,Charlotte Cooper,
1899,French Open,Paul Ayme,P. Lebreton,Francoise Masson,xxx,
1898,U.S. Open,Malcolm D. Whitman,Dwight F. Davis,Juliette Atkinson,Marion Jones,
1898,Wimbledon,Reggie Doherty,Laurie Doherty,Charlotte Cooper,L. Martin,
1898,French Open,Paul Ayme,P. Lebreton,Francoise Masson,xxx,
1897,U.S. Open,Robert D. Wrenn,Wilberforce Eaves,Juliette Atkinson,Elisabeth Moore,
1897,Wimbledon,Reggie Doherty,Harold Mahoney,Blanche Bingley Hillyard,Charlotte Cooper,
1897,French Open,Paul Ayme,F. Wardan,Francoise Masson,P. Girod,
1896,U.S. Open,Robert D. Wrenn,Fred H. Hovey,Elisabeth Moore,Juliette Atkinson,
1896,Wimbledon,Harold Mahoney,Wilfred Baddeley,Charlotte Cooper,W. H. Pickering,
1896,French Open,Andre Vacherot,G. Brosselin,,,
1895,U.S. Open,Fred H. Hovey,Robert D. Wrenn,Juliette Atkinson,Helen Hellwig,
1895,Wimbledon,Wilfred Baddeley,Wilberforce Eaves,Charlotte Cooper,H. Jackson,
1895,French Open,Andre Vacherot,L. Riboulet,,,
1894,U.S. Open,Robert D. Wrenn,Manliff Goodbody,Helen Hellwig,Aline Terry,
1894,Wimbledon,Joshua Pim,Wilfred Baddeley,Blanche Bingley Hillyard,E. Austin,
1894,French Open,Andre Vacherot,G. Brosselin,,,
1893,U.S. Open,Robert D. Wrenn,Fred H. Hovey,Aline Terry,Augusta Schultz,
1893,Wimbledon,Joshua Pim,Wilfred Baddeley,Lottie Dod,Blanche Bingley Hillyard,
1893,French Open,L. Riboulet,J. Schopfer,,,
1892,U.S. Open,Oliver S. Campbell,Fred H. Hovey,Mabel Cahill,Elisabeth Moore,
1892,Wimbledon,Wilfred Baddeley,Joshua Pim,Lottie Dod,Blanche Bingley Hillyard,
1892,French Open,J. Schopfer,Fassitt,,,
1891,U.S. Open,Oliver S. Campbell,Clarence Hobart,Mabel Cahill,Ellen C Roosevelt,
1891,Wimbledon,Wilfred Baddeley,Joshua Pim,Lottie Dod,Blanche Bingley Hillyard,
1891,French Open,H. Briggs,P. Baigneres,,,
1890,U.S. Open,Oliver S. Campbell,"Henry W. Slocum, Jr.",Ellen C. Roosevelt,Bertha L. Townsend,
1890,Wimbledon,William Hamilton,William Renshaw,Lena Rice,M. Jacks,
1889,U.S. Open,Henry W. Slocum Jr.,Quincy Shaw,Bertha L. Townsend,Lida D. Voorhes,
1889,Wimbledon,William Renshaw,Ernest Renshaw,Blanche Bingley Hillyard,Lena Rice,
1888,U.S. Open,Henry W. Slocum Jr.,Howard A. Taylor,Bertha L. Townsend,Ellen Hansell,
1888,Wimbledon,Ernest Renshaw,Herbert Lawford,Lottie Dod,Blanche Bingley Hillyard,
1887,U.S. Open,Richard D. Sears,"Henry W. Slocum, Jr.",Ellen Hansell,Laura Knight,
1887,Wimbledon,Herbert Lawford,Ernest Renshaw,Lottie Dod,Blanche Bingley,
1886,U.S. Open,Richard D. Sears,R. Livingston Beeckman,,,
1886,Wimbledon,William Renshaw,Herbert Lawford,Blanche Bingley,Maud Watson,
1885,U.S. Open,Richard D. Sears,Godfrey M. Brinley,,,
1885,Wimbledon,William Renshaw,Herbert Lawford,Maud Watson,Blanche Bingley,
1884,U.S. Open,Richard D. Sears,Howard A. Taylor,,,
1884,Wimbledon,William Renshaw,Herbert Lawford,Maud Watson,Lillian Watson,
1883,U.S. Open,Richard D. Sears,James Dwight,,,
1883,Wimbledon,William Renshaw,Ernest Renshaw,,,
1882,U.S. Open,Richard D. Sears,Clarence M. Clark,,,
1882,Wimbledon,William Renshaw,Ernest Renshaw,,,
1881,U.S. Open,Richard D. Sears,William E. Glyn,,,
1881,Wimbledon,William Renshaw,John Hartley,,,
1880,Wimbledon,John Hartley,Herbert Lawford,,,
1879,Wimbledon,John Hartley,V. St. Leger Gould,,,
1878,Wimbledon,Frank Hadow,Spencer Gore,,,
1877,Wimbledon,Spencer Gore,William Marshall,,,