Year,Mardi_Gras,Month,Easter_Date
1950,21-Feb,4,9
1951,6-Feb,3,25
1952,26-Feb,4,13
1953,17-Feb,4,5
1954,2-Mar,4,18
1955,22-Feb,4,10
1956,14-Feb,4,1
1957,5-Mar,4,21
1958,18-Feb,4,6
1959,10-Feb,3,29
1960,1-Mar,4,17
1961,14-Feb,4,2
1962,6-Mar,4,22
1963,26-Feb,4,14
1964,11-Feb,3,29
1965,2-Mar,4,18
1966,22-Feb,4,10
1967,7-Feb,3,26
1968,27-Feb,4,14
1969,18-Feb,4,6
1970,10-Feb,3,29
1971,23-Feb,4,11
1972,15-Feb,4,2
1973,6-Mar,4,22
1974,26-Feb,4,14
1975,11-Feb,3,30
1976,2-Mar,4,18
1977,22-Feb,4,10
1978,7-Feb,3,26
1979,27-Feb,4,15
1980,19-Feb,4,6
1981,3-Mar,4,19
1982,23-Feb,4,11
1983,15-Feb,4,3
1984,6-Mar,4,22
1985,19-Feb,4,7
1986,11-Feb,3,30
1987,3-Mar,4,19
1988,16-Feb,4,3
1989,7-Feb,3,26
1990,27-Feb,4,15
1991,12-Feb,3,31
1992,3-Mar,4,19
1993,23-Feb,4,11
1994,15-Feb,4,3
1995,28-Feb,4,16
1996,20-Feb,4,7
1997,11-Feb,3,30
1998,24-Feb,4,12
1999,16-Feb,4,4
2000,7-Mar,4,23
2001,27-Feb,4,15
2002,12-Feb,3,31
2003,4-Mar,4,20
2004,24-Feb,4,11
2005,8-Feb,3,27
2006,28-Feb,4,16
2007,20-Feb,4,8
2008,5-Feb,3,23
2009,24-Feb,4,12
2010,16-Feb,4,4
2011,8-Mar,4,24
2012,21-Feb,4,8
2013,12-Feb,3,31
2014,4-Mar,4,20
2015,17-Feb,4,5
2016,9-Feb,3,27
2017,28-Feb,4,16
2018,13-Feb,4,1
2019,5-Mar,4,21
2020,25-Feb,4,12
2021,16-Feb,4,4
2022,1-Mar,4,17
2023,21-Feb,4,9
2024,13-Feb,3,31
2025,4-Mar,4,20
2026,17-Feb,4,5
2027,9-Feb,3,28
2028,29-Feb,4,16
2029,13-Feb,4,1
2030,5-Mar,4,21
2031,25-Feb,4,13
2032,10-Feb,3,28
2033,1-Mar,4,17
2034,21-Feb,4,9
2035,6-Feb,3,25
2036,26-Feb,4,13
2037,17-Feb,4,5
2038,9-Mar,4,25
2039,22-Feb,4,10
2040,14-Feb,4,1
2041,5-Mar,4,21
2042,18-Feb,4,6
2043,10-Feb,3,29
2044,1-Mar,4,17
2045,21-Feb,4,9
2046,6-Feb,3,25
2047,26-Feb,4,14
2048,18-Feb,4,5
2049,2-Mar,4,18
2050,22-Feb,4,10