State,University_of_Alabama,University_of_Arkansas,Arizona_State_University,Auburn,Clemson,Florida _State,Georgia_Tech,Georgia_State,LSU,Mississippi_State,North_Carolina_State,Oklahoma_State,Texas _A&M,Texas_Tech,University_of _Tennessee,University_of_Texas,University_of_Alabama-Birmingham,University_of_Delaware,University_of_Florida,University_of_Georgia,University_of_Houston,University_of_Kentucky,University_of_Mississippi,University_of_Maryland,UNC-Chapel_Hill,University_of_Oklahoma,University_of_South_Carolina,University_of_Southern_Mississippi,University_of_Virginia,Virginia_Tech,West_Virginia
Alabama,2799,4,2,3023,21,14,20,23,39,327,4,2,9,3,29,2,1821,1,6,21,1,17,158,,4,4,6,90,19,5,3
Alaska,1,2,29,1,1,,1,1,,,1,2,4,2,,1,,1,,,,,2,,2,4,,2,1,,1
Arizona,46,5,8624,14,10,3,17,3,10,2,,11,22,15,13,19,1,,4,4,2,4,25,4,3,18,4,3,7,6,5
Arkansas,25,2800,8,6,5,1,,3,23,48,2,67,16,1,6,4,2,,1,4,,11,52,,,27,2,5,8,1,
California,261,30,1547,47,65,15,77,29,150,5,16,76,122,78,142,175,5,15,35,46,22,37,132,107,29,74,27,5,81,80,12
Colorado,108,28,296,53,26,27,22,2,28,1,11,41,36,67,35,16,4,5,24,34,2,19,55,7,14,86,12,1,18,29,6
Connecticut,61,3,53,10,89,16,20,8,20,3,21,2,4,6,37,22,,117,37,23,1,13,30,84,21,2,92,1,70,107,27
District of Columbia,3,,7,2,3,,5,10,14,,2,,2,1,1,3,,6,1,3,,,2,14,2,2,4,,15,26,6
Delaware,14,,6,3,11,1,4,2,5,3,6,1,,2,19,4,,1635,3,7,,11,6,21,3,1,22,,7,26,51
Florida,423,13,74,268,106,5115,115,75,223,58,38,6,24,11,104,29,29,13,5280,111,14,55,142,53,34,26,62,40,63,57,32
Georgia,668,24,68,684,191,140,2056,4480,193,141,22,10,27,10,421,33,121,5,66,4685,7,184,294,8,42,14,244,5,48,65,14
Hawaii,7,,78,1,1,,7,2,4,1,3,1,4,6,2,5,,,2,,1,1,,2,,3,,1,1,2,1
Idaho,4,1,54,2,3,2,2,,1,2,,,4,1,1,4,,,,,1,,2,,3,1,,,6,1,4
Illinois,402,80,402,64,77,51,45,37,119,40,29,27,29,24,267,59,15,13,59,50,16,473,200,36,21,34,138,9,26,43,32
Indiana,77,,56,16,17,7,11,5,8,7,6,14,7,5,32,4,6,2,10,8,6,96,22,1,5,7,7,2,4,1,12
Iowa,16,5,39,1,1,3,4,4,3,1,1,11,2,5,4,7,2,,2,3,4,8,1,1,3,6,2,,2,1,1
Kansas,29,303,56,4,5,4,7,2,3,1,1,63,12,7,7,8,,2,4,7,3,4,15,3,3,51,4,,3,3,1
Kentucky,65,3,18,31,18,11,15,2,12,12,5,3,7,2,59,4,8,2,8,19,1,3712,58,2,3,5,36,3,13,9,5
Louisiana,168,114,18,52,9,15,7,10,"4,797",96,1,6,47,4,14,10,17,,5,24,7,6,165,1,2,4,7,208,11,6,1
Maine,9,,11,1,6,1,1,,2,,10,2,1,,4,3,,8,1,1,1,4,2,1,2,1,10,1,5,4,3
Maryland,101,3,69,44,110,36,70,33,126,9,66,10,21,7,175,24,3,386,38,98,7,52,25,4187,46,5,214,3,93,339,349
Massachusetts,135,4,83,12,117,19,48,10,57,5,51,1,7,5,67,9,1,103,40,30,3,22,23,128,16,3,120,,109,89,36
Michigan,122,4,87,12,22,7,8,11,11,1,11,7,8,2,41,5,3,1,11,12,1,90,25,10,4,7,29,,3,12,12
Minnesota,32,7,186,8,26,13,18,11,12,4,12,,18,7,19,9,4,2,20,20,4,9,14,4,7,7,18,,9,1,7
Mississippi,88,22,3,16,,1,,8,56,1970,,4,3,,17,,28,,,5,4,3,1581,1,,3,5,1140,4,1,3
Missouri,80,578,70,30,13,17,13,8,24,26,7,43,18,3,27,8,4,4,6,15,7,65,136,6,6,36,14,4,8,2,5
Montana,6,,27,1,,1,1,,2,3,,2,,2,1,,,,1,1,1,,1,,,1,1,,1,,
Nebraska,13,8,45,2,3,9,2,,2,2,2,8,8,8,5,1,1,,1,1,,,3,1,1,9,3,,4,,
Nevada,16,2,120,3,3,3,4,3,15,,5,3,13,7,8,3,,,2,3,1,2,11,1,1,14,1,,7,5,3
New Hampshire,30,2,21,4,18,4,10,,5,2,11,1,2,2,7,2,1,12,6,2,,14,2,6,3,2,24,,7,34,5
New Jersey,209,2,151,36,248,81,140,24,98,5,75,5,23,13,188,53,2,1060,135,123,5,40,66,366,43,6,390,1,75,415,234
New Mexico,8,,83,,,2,4,,1,1,2,7,13,176,,9,1,,,,,,1,1,,3,1,1,2,2,3
New York,220,7,130,25,202,76,76,67,97,9,59,6,16,21,124,82,2,667,162,140,11,47,45,171,51,10,396,3,216,162,148
North Carolina,158,10,29,121,196,28,54,18,66,14,4648,3,10,9,311,9,10,8,26,151,2,50,73,14,3701,12,387,2,41,279,40
North Dakota,6,,28,1,,,1,,,,,1,1,1,,,1,1,,,,,2,,,2,1,,1,,
Ohio,127,6,67,39,45,39,47,14,24,11,22,7,15,5,140,9,6,2,27,36,4,418,38,16,23,9,104,2,19,43,261
Oklahoma,25,289,30,3,1,4,4,1,7,2,,2962,22,16,3,2,2,1,5,9,3,4,14,,2,2477,,,4,,1
Oregon,9,5,121,3,7,4,3,5,2,,2,10,18,4,4,8,,1,1,1,4,3,5,3,2,,2,,7,3,2
Pennsylvania,204,6,138,45,130,55,64,23,67,8,84,6,18,6,154,13,1,655,59,62,7,110,42,169,31,5,269,1,91,239,901
Rhode Island,17,,21,2,14,2,2,1,4,,3,,3,1,7,1,,15,2,,1,1,4,5,1,1,20,,2,9,1
South Carolina,88,4,11,56,2406,12,36,27,27,19,35,9,7,2,82,3,4,4,30,73,2,22,34,,17,4,3428,2,23,40,13
South Dakota,3,,25,,,,,1,,1,,,,1,1,1,,1,1,,,1,,,1,1,1,,,1,
Tennessee,331,102,32,205,45,42,41,11,49,349,6,4,21,9,3715,9,55,2,18,101,3,145,363,12,12,8,63,11,32,37,11
Texas,456,2566,337,179,87,39,77,21,784,101,18,1093,11597,6103,119,7979,16,11,43,159,5161,42,435,40,25,1532,42,19,105,48,23
United States,8,3,38,2,1,,5,,4,1,,4,4,1,1,7,2,,1,4,1,1,,1,2,5,3,1,12,3,
Utah,2,,11,1,4,2,,,5,,5,,1,,4,,1,4,,1,,4,3,,,,7,2,3,8,6
Vermont,176,10,67,60,142,41,104,18,92,28,139,13,40,12,327,27,3,73,48,127,4,94,72,187,41,15,236,,2485,4577,327
Virginia,34,3,423,6,12,7,23,5,8,2,3,8,20,11,10,20,2,3,15,2,5,10,10,10,7,8,7,1,11,15,4
Washington,7,,,2,4,2,4,,1,,5,3,3,,12,,,,,,,39,,1,1,,3,1,8,20,1916
West Virginia,75,7,138,9,9,8,12,7,14,4,3,7,4,2,21,9,2,5,7,9,3,35,23,4,9,6,29,3,4,9,6
Wisconsin,,,19,,1,,1,,1,,,,,1,1,1,,,,3,,1,1,,,,,1,2,1,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,