Year,Stage,Host-Country,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,MatchID
1930,Group 1,Uruguay,France,4,1,Mexico,,1096
1930,Group 4,Uruguay,USA,3,0,Belgium,,1090
1930,Group 2,Uruguay,Yugoslavia,2,1,Brazil,,1093
1930,Group 3,Uruguay,Romania,3,1,Peru,,1098
1930,Group 1,Uruguay,Argentina,1,0,France,,1085
1930,Group 1,Uruguay,Chile,3,0,Mexico,,1095
1930,Group 2,Uruguay,Yugoslavia,4,0,Bolivia,,1092
1930,Group 4,Uruguay,USA,3,0,Paraguay,,1097
1930,Group 3,Uruguay,Uruguay,1,0,Peru,,1099
1930,Group 1,Uruguay,Chile,1,0,France,,1094
1930,Group 1,Uruguay,Argentina,6,3,Mexico,,1086
1930,Group 2,Uruguay,Brazil,4,0,Bolivia,,1091
1930,Group 4,Uruguay,Paraguay,1,0,Belgium,,1089
1930,Group 3,Uruguay,Uruguay,4,0,Romania,,1100
1930,Group 1,Uruguay,Argentina,3,1,Chile,,1084
1930,Semi-finals,Uruguay,Argentina,6,1,USA,,1088
1930,Semi-finals,Uruguay,Uruguay,6,1,Yugoslavia,,1101
1930,Final,Uruguay,Uruguay,4,2,Argentina,,1087
1934,Preliminary round,Italy,Austria,3,2,France,Austria win after extra time,1104
1934,Preliminary round,Italy,Hungary,4,2,Egypt,,1119
1934,Preliminary round,Italy,Switzerland,3,2,Netherlands,,1133
1934,Preliminary round,Italy,Sweden,3,2,Argentina,,1102
1934,Preliminary round,Italy,Germany,5,2,Belgium,,1108
1934,Preliminary round,Italy,Spain,3,1,Brazil,,1111
1934,Preliminary round,Italy,Italy,7,1,USA,,1135
1934,Preliminary round,Italy,Czechoslovakia,2,1,Romania,,1141
1934,Quarter-finals,Italy,Czechoslovakia,3,2,Switzerland,,1143
1934,Quarter-finals,Italy,Germany,2,1,Sweden,,1129
1934,Quarter-finals,Italy,Italy,1,1,Spain,,1122
1934,Quarter-finals,Italy,Austria,2,1,Hungary,,1106
1934,Quarter-finals,Italy,Italy,1,0,Spain,,1123
1934,Semi-finals,Italy,Italy,1,0,Austria,,1107
1934,Semi-finals,Italy,Czechoslovakia,3,1,Germany,,1130
1934,Match for third place,Italy,Germany,3,2,Austria,,1105
1934,Final,Italy,Italy,2,1,Czechoslovakia,Italy win after extra time,1134
1938,First round,France,Switzerland,1,1,Germany,,1165
1938,First round,France,Hungary,6,0,Dutch East Indies,,1173
1938,First round,France,France,3,1,Belgium,,1146
1938,First round,France,Cuba,3,3,Romania,,1156
1938,First round,France,Italy,2,1,Norway,Italy win after extra time,1179
1938,First round,France,Brazil,6,5,Poland,Brazil win after extra time,1150
1938,First round,France,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time,1172
1938,First round,France,Cuba,2,1,Romania,,1157
1938,First round,France,Switzerland,4,2,Germany,,1166
1938,Quarter-finals,France,Brazil,1,1,Czechoslovakia,,1152
1938,Quarter-finals,France,Hungary,2,0,Switzerland,,1175
1938,Quarter-finals,France,Sweden,8,0,Cuba,,1158
1938,Quarter-finals,France,Italy,3,1,France,,1164
1938,Quarter-finals,France,Brazil,2,1,Czechoslovakia,,1153
1938,Semi-finals,France,Hungary,5,1,Sweden,,1176
1938,Semi-finals,France,Italy,2,1,Brazil,,1149
1938,Match for third place,France,Brazil,4,2,Sweden,,1151
1938,Final,France,Italy,4,2,Hungary,,1174
1950,Group 1,Brazil,Brazil,4,0,Mexico,,1187
1950,Group 2,Brazil,England,2,0,Chile,,1192
1950,Group 2,Brazil,Spain,3,1,USA,,1208
1950,Group 3,Brazil,Sweden,3,2,Italy,,1219
1950,Group 1,Brazil,Yugoslavia,3,0,Switzerland,,1230
1950,Group 1,Brazil,Brazil,2,2,Switzerland,,1188
1950,Group 1,Brazil,Yugoslavia,4,1,Mexico,,1225
1950,Group 2,Brazil,Spain,2,0,Chile,,1193
1950,Group 3,Brazil,Sweden,2,2,Paraguay,,1228
1950,Group 2,Brazil,USA,1,0,England,,1202
1950,Group 1,Brazil,Brazil,2,0,Yugoslavia,,1191
1950,Group 2,Brazil,Spain,1,0,England,,1199
1950,Group 3,Brazil,Italy,2,0,Paraguay,,1218
1950,Group 4,Brazil,Uruguay,8,0,Bolivia,,1185
1950,Group 1,Brazil,Switzerland,2,1,Mexico,,1222
1950,Group 2,Brazil,Chile,5,2,USA,,1194
1950,Group 6,Brazil,Uruguay,2,2,Spain,,1207
1950,Group 6,Brazil,Brazil,7,1,Sweden,,1189
1950,Group 6,Brazil,Brazil,6,1,Spain,,1186
1950,Group 6,Brazil,Uruguay,3,2,Sweden,,1231
1950,Group 6,Brazil,Sweden,3,1,Spain,,1206
1950,Group 6,Brazil,Uruguay,2,1,Brazil,,1190
1954,Group 3,Switzerland,Uruguay,2,0,Czechoslovakia,,1315
1954,Group 3,Switzerland,Austria,1,0,Scotland,,1236
1954,Group 1,Switzerland,Brazil,5,0,Mexico,,1249
1954,Group 1,Switzerland,Yugoslavia,1,0,France,,1276
1954,Group 2,Switzerland,Germany FR,4,1,Turkey,,1283
1954,Group 2,Switzerland,Hungary,9,0,Korea Republic,,1294
1954,Group 4,Switzerland,England,4,4,Belgium,,1240
1954,Group 4,Switzerland,Switzerland,2,1,Italy,,1300
1954,Group 3,Switzerland,Uruguay,7,0,Scotland,,1313
1954,Group 3,Switzerland,Austria,5,0,Czechoslovakia,,1238
1954,Group 1,Switzerland,France,3,2,Mexico,,1275
1954,Group 1,Switzerland,Brazil,1,1,Yugoslavia,,1252
1954,Group 2,Switzerland,Hungary,8,3,Germany FR,,1277
1954,Group 2,Switzerland,Turkey,7,0,Korea Republic,,1304
1954,Group 4,Switzerland,England,2,0,Switzerland,,1263
1954,Group 4,Switzerland,Italy,4,1,Belgium,,1243
1954,Group 2,Switzerland,Germany FR,7,2,Turkey,,1284
1954,Group 4,Switzerland,Switzerland,4,1,Italy,,1301
1954,Quarter-finals,Switzerland,Uruguay,4,2,England,,1264
1954,Quarter-finals,Switzerland,Austria,7,5,Switzerland,,1237
1954,Quarter-finals,Switzerland,Germany FR,2,0,Yugoslavia,,1285
1954,Quarter-finals,Switzerland,Hungary,4,2,Brazil,,1248
1954,Semi-finals,Switzerland,Germany FR,6,1,Austria,,1233
1954,Semi-finals,Switzerland,Hungary,4,2,Uruguay,Hungary win after extra time,1295
1954,Match for third place,Switzerland,Austria,3,1,Uruguay,,1239
1954,Final,Switzerland,Germany FR,3,2,Hungary,,1278
1958,Group 3,Sweden,Sweden,3,0,Mexico,,1415
1958,Group 4,Sweden,Soviet Union,2,2,England,,1372
1958,Group 1,Sweden,Argentina,1,3,Germany FR,,1323
1958,Group 3,Sweden,Hungary,1,1,Wales,,1407
1958,Group 2,Sweden,France,7,3,Paraguay,,1386
1958,Group 2,Sweden,Yugoslavia,1,1,Scotland,,1434
1958,Group 4,Sweden,Brazil,3,0,Austria,,1326
1958,Group 1,Sweden,Northern Ireland,1,0,Czechoslovakia,,1421
1958,Group 4,Sweden,Brazil,0,0,England,,1339
1958,Group 3,Sweden,Mexico,1,1,Wales,,1418
1958,Group 2,Sweden,Paraguay,3,2,Scotland,,1423
1958,Group 2,Sweden,Yugoslavia,3,2,France,,1388
1958,Group 4,Sweden,Soviet Union,2,0,Austria,,1332
1958,Group 1,Sweden,Germany FR,2,2,Czechoslovakia,,1391
1958,Group 1,Sweden,Argentina,3,1,Northern Ireland,,1324
1958,Group 3,Sweden,Sweden,2,1,Hungary,,1406
1958,Group 3,Sweden,Sweden,0,0,Wales,,1438
1958,Group 4,Sweden,Brazil,2,0,Soviet Union,,1344
1958,Group 1,Sweden,Germany FR,2,2,Northern Ireland,,1389
1958,Group 3,Sweden,Hungary,4,0,Mexico,,1403
1958,Group 2,Sweden,Paraguay,3,3,Yugoslavia,,1426
1958,Group 2,Sweden,France,2,1,Scotland,,1387
1958,Group 4,Sweden,England,2,2,Austria,,1327
1958,Group 1,Sweden,Czechoslovakia,6,1,Argentina,,1325
1958,Group 4,Sweden,Soviet Union,1,0,England,,1373
1958,Group 1,Sweden,Northern Ireland,2,1,Czechoslovakia,Northern Ireland win after extra time,1422
1958,Group 3,Sweden,Wales,2,1,Hungary,,1408
1958,Quarter-finals,Sweden,Brazil,1,0,Wales,,1345
1958,Quarter-finals,Sweden,Germany FR,1,0,Yugoslavia,,1392
1958,Quarter-finals,Sweden,Sweden,2,0,Soviet Union,,1437
1958,Quarter-finals,Sweden,France,4,0,Northern Ireland,,1385
1958,Semi-finals,Sweden,Sweden,3,1,Germany FR,,1390
1958,Semi-finals,Sweden,Brazil,5,2,France,,1340
1958,Match for third place,Sweden,France,6,3,Germany FR,,1382
1958,Final,Sweden,Brazil,5,2,Sweden,,1343
1962,Group 1,Chile,Uruguay,2,1,Colombia,,1479
1962,Group 3,Chile,Brazil,2,0,Mexico,,1461
1962,Group 4,Chile,Argentina,1,0,Bulgaria,,1447
1962,Group 2,Chile,Chile,3,1,Switzerland,,1473
1962,Group 1,Chile,Soviet Union,2,0,Yugoslavia,,1563
1962,Group 3,Chile,Czechoslovakia,1,0,Spain,,1498
1962,Group 4,Chile,Hungary,2,1,England,,1490
1962,Group 2,Chile,Germany FR,0,0,Italy,,1507
1962,Group 1,Chile,Yugoslavia,3,1,Uruguay,,1564
1962,Group 3,Chile,Brazil,0,0,Czechoslovakia,,1462
1962,Group 4,Chile,England,3,1,Argentina,,1450
1962,Group 2,Chile,Chile,2,0,Italy,,1472
1962,Group 1,Chile,Soviet Union,4,4,Colombia,,1478
1962,Group 3,Chile,Spain,1,0,Mexico,,1497
1962,Group 4,Chile,Hungary,6,1,Bulgaria,,1470
1962,Group 2,Chile,Germany FR,2,1,Switzerland,,1510
1962,Group 1,Chile,Soviet Union,2,1,Uruguay,,1562
1962,Group 3,Chile,Brazil,2,1,Spain,,1460
1962,Group 4,Chile,Hungary,0,0,Argentina,,1451
1962,Group 2,Chile,Germany FR,2,0,Chile,,1471
1962,Group 1,Chile,Yugoslavia,5,0,Colombia,,1480
1962,Group 3,Chile,Mexico,3,1,Czechoslovakia,,1544
1962,Group 4,Chile,England,0,0,Bulgaria,,1464
1962,Group 2,Chile,Italy,3,0,Switzerland,,1532
1962,Quarter-finals,Chile,Chile,2,1,Soviet Union,,1474
1962,Quarter-finals,Chile,Brazil,3,1,England,,1459
1962,Quarter-finals,Chile,Czechoslovakia,1,0,Hungary,,1525
1962,Quarter-finals,Chile,Yugoslavia,1,0,Germany FR,,1511
1962,Semi-finals,Chile,Czechoslovakia,3,1,Yugoslavia,,1559
1962,Semi-finals,Chile,Brazil,4,2,Chile,,1458
1962,Match for third place,Chile,Chile,1,0,Yugoslavia,,1475
1962,Final,Chile,Brazil,3,1,Czechoslovakia,,1463
1966,Group 1,England,England,0,0,Uruguay,,1636
1966,Group 2,England,Germany FR,5,0,Switzerland,,1656
1966,Group 3,England,Brazil,2,0,Bulgaria,,1596
1966,Group 4,England,Soviet Union,3,0,Korea DPR,,1710
1966,Group 1,England,France,1,1,Mexico,,1650
1966,Group 3,England,Portugal,3,1,Hungary,,1675
1966,Group 2,England,Argentina,2,1,Spain,,1578
1966,Group 4,England,Italy,2,0,Chile,,1608
1966,Group 1,England,Uruguay,2,1,France,,1653
1966,Group 2,England,Spain,2,1,Switzerland,,1641
1966,Group 3,England,Hungary,3,1,Brazil,,1597
1966,Group 4,England,Korea DPR,1,1,Chile,,1609
1966,Group 3,England,Portugal,3,0,Bulgaria,,1602
1966,Group 2,England,Germany FR,0,0,Argentina,,1579
1966,Group 4,England,Soviet Union,1,0,Italy,,1682
1966,Group 1,England,England,2,0,Mexico,,1634
1966,Group 1,England,Uruguay,0,0,Mexico,,1689
1966,Group 2,England,Argentina,2,0,Switzerland,,1582
1966,Group 3,England,Portugal,3,1,Brazil,,1598
1966,Group 4,England,Korea DPR,1,0,Italy,,1679
1966,Group 1,England,England,2,0,France,,1632
1966,Group 3,England,Hungary,3,1,Bulgaria,,1599
1966,Group 2,England,Germany FR,2,1,Spain,,1637
1966,Group 4,England,Soviet Union,2,1,Chile,,1610
1966,Quarter-finals,England,England,1,0,Argentina,,1577
1966,Quarter-finals,England,Germany FR,4,0,Uruguay,,1660
1966,Quarter-finals,England,Soviet Union,2,1,Hungary,,1676
1966,Quarter-finals,England,Portugal,5,3,Korea DPR,,1702
1966,Semi-finals,England,Germany FR,2,1,Soviet Union,,1659
1966,Semi-finals,England,England,2,1,Portugal,,1635
1966,Match for third place,England,Portugal,2,1,Soviet Union,,1709
1966,Final,England,England,4,2,Germany FR,England win after extra time,1633
1970,Group 1,Mexico City,Mexico,0,0,Soviet Union,,1902
1970,Group 2,Mexico City,Uruguay,2,0,Israel,,1881
1970,Group 4,Mexico City,Peru,3,2,Bulgaria,,1780
1970,Group 3,Mexico City,England,1,0,Romania,,1812
1970,Group 2,Mexico City,Italy,1,0,Sweden,,1883
1970,Group 4,Mexico City,Germany FR,2,1,Morocco,,1839
1970,Group 3,Mexico City,Brazil,4,1,Czechoslovakia,,1770
1970,Group 1,Mexico City,Belgium,3,0,El Salvador,,1747
1970,Group 2,Mexico City,Uruguay,0,0,Italy,,1884
1970,Group 4,Mexico City,Peru,3,0,Morocco,,1893
1970,Group 3,Mexico City,Romania,2,1,Czechoslovakia,,1919
1970,Group 1,Mexico City,Soviet Union,4,1,Belgium,,1753
1970,Group 2,Mexico City,Sweden,1,1,Israel,,1880
1970,Group 4,Mexico City,Germany FR,5,2,Bulgaria,,1774
1970,Group 3,Mexico City,Brazil,1,0,England,,1764
1970,Group 1,Mexico City,Mexico,4,0,El Salvador,,1820
1970,Group 2,Mexico City,Sweden,1,0,Uruguay,,1922
1970,Group 4,Mexico City,Germany FR,3,1,Peru,,1840
1970,Group 3,Mexico City,Brazil,3,2,Romania,,1769
1970,Group 1,Mexico City,Soviet Union,2,0,El Salvador,,1823
1970,Group 2,Mexico City,Italy,0,0,Israel,,1877
1970,Group 4,Mexico City,Bulgaria,1,1,Morocco,,1779
1970,Group 3,Mexico City,England,1,0,Czechoslovakia,,1813
1970,Group 1,Mexico City,Mexico,1,0,Belgium,,1752
1970,Quarter-finals,Mexico City,Italy,4,1,Mexico,,1882
1970,Quarter-finals,Mexico City,Germany FR,3,2,England,Germany FR win after extra time,1811
1970,Quarter-finals,Mexico City,Brazil,4,2,Peru,,1768
1970,Quarter-finals,Mexico City,Uruguay,1,0,Soviet Union,Uruguay win after extra time,1925
1970,Semi-finals,Mexico City,Brazil,3,1,Uruguay,,1771
1970,Semi-finals,Mexico City,Italy,4,3,Germany FR,Italy win after extra time,1838
1970,Match for third place,Mexico City,Germany FR,1,0,Uruguay,,1843
1970,Final,Mexico City,Brazil,4,1,Italy,,1765
1974,Group 2,Germany,Brazil,0,0,Yugoslavia,,1986
1974,Group 1,Germany,Germany FR,1,0,Chile,,2003
1974,Group 1,Germany,German DR,2,0,Australia,,1955
1974,Group 2,Germany,Zaire,0,2,Scotland,,2176
1974,Group 3,Germany,Uruguay,0,2,Netherlands,,2098
1974,Group 3,Germany,Sweden,0,0,Bulgaria,,1995
1974,Group 4,Germany,Italy,3,1,Haiti,,2083
1974,Group 4,Germany,Poland,3,2,Argentina,,1952
1974,Group 1,Germany,Australia,0,3,Germany FR,,1954
1974,Group 2,Germany,Scotland,0,0,Brazil,,1985
1974,Group 1,Germany,Chile,1,1,German DR,,2004
1974,Group 2,Germany,Yugoslavia,9,0,Zaire,,2186
1974,Group 3,Germany,Netherlands,0,0,Sweden,,2097
1974,Group 3,Germany,Bulgaria,1,1,Uruguay,,1996
1974,Group 4,Germany,Haiti,0,7,Poland,,2085
1974,Group 4,Germany,Argentina,1,1,Italy,,1949
1974,Group 2,Germany,Scotland,1,1,Yugoslavia,,2175
1974,Group 1,Germany,Australia,0,0,Chile,,1953
1974,Group 2,Germany,Zaire,0,3,Brazil,,1987
1974,Group 1,Germany,German DR,1,0,Germany FR,,2062
1974,Group 3,Germany,Bulgaria,1,4,Netherlands,,1990
1974,Group 4,Germany,Argentina,4,1,Haiti,,1947
1974,Group 3,Germany,Sweden,3,0,Uruguay,,2181
1974,Group 4,Germany,Poland,2,1,Italy,,2129
1974,Group B,Germany,Yugoslavia,0,2,Germany FR,,2066
1974,Group A,Germany,Brazil,1,0,German DR,,1982
1974,Group A,Germany,Netherlands,4,0,Argentina,,1948
1974,Group B,Germany,Sweden,0,1,Poland,,2167
1974,Group A,Germany,Argentina,1,2,Brazil,,1945
1974,Group B,Germany,Poland,2,1,Yugoslavia,,2170
1974,Group A,Germany,German DR,0,2,Netherlands,,2067
1974,Group B,Germany,Germany FR,4,2,Sweden,,2065
1974,Group B,Germany,Poland,0,1,Germany FR,,2064
1974,Group A,Germany,Netherlands,2,0,Brazil,,1983
1974,Group A,Germany,Argentina,1,1,German DR,,1946
1974,Group B,Germany,Sweden,2,1,Yugoslavia,,2182
1974,Match for third place,Germany,Brazil,0,1,Poland,,1984
1974,Final,Germany,Netherlands,1,2,Germany FR,,2063
1978,Group 2,,Germany FR,0,0,Poland,,2351
1978,Group 1,Argentina,Italy,2,1,France,,2347
1978,Group 2,Argentina,Tunisia,3,1,Mexico,,2433
1978,Group 1,Argentina,Argentina,2,1,Hungary,,2199
1978,Group 3,Argentina,Sweden,1,1,Brazil,,2253
1978,Group 3,Argentina,Austria,2,1,Spain,,2216
1978,Group 4,Argentina,Peru,3,1,Scotland,,2451
1978,Group 4,Argentina,Netherlands,3,0,IR Iran,,2388
1978,Group 1,Argentina,Italy,3,1,Hungary,,2396
1978,Group 2,Argentina,Poland,1,0,Tunisia,,2454
1978,Group 2,Argentina,Germany FR,6,0,Mexico,,2350
1978,Group 1,Argentina,Argentina,2,1,France,,2197
1978,Group 3,Argentina,Brazil,0,0,Spain,,2246
1978,Group 3,Argentina,Austria,1,0,Sweden,,2224
1978,Group 4,Argentina,Scotland,1,1,IR Iran,,2408
1978,Group 4,Argentina,Netherlands,0,0,Peru,,2394
1978,Group 1,Argentina,France,3,1,Hungary,,2344
1978,Group 2,Argentina,Poland,3,1,Mexico,,2431
1978,Group 2,Argentina,Germany FR,0,0,Tunisia,,2352
1978,Group 1,Argentina,Italy,1,0,Argentina,,2200
1978,Group 3,Argentina,Brazil,1,0,Austria,,2215
1978,Group 3,Argentina,Spain,1,0,Sweden,,2337
1978,Group 4,Argentina,Peru,4,1,Iran,,2405
1978,Group 4,Argentina,Scotland,3,2,Netherlands,,2395
1978,Group A,Argentina,Germany FR,0,0,Italy,,2349
1978,Group A,Argentina,Netherlands,5,1,Austria,,2220
1978,Group B,Argentina,Brazil,3,0,Peru,,2251
1978,Group B,Argentina,Argentina,2,0,Poland,,2202
1978,Group B,Argentina,Poland,1,0,Peru,,2450
1978,Group A,Argentina,Italy,1,0,Austria,,2221
1978,Group A,Argentina,Germany FR,2,2,Netherlands,,2348
1978,Group B,Argentina,Argentina,0,0,Brazil,,2196
1978,Group A,Argentina,Netherlands,2,1,Italy,,2391
1978,Group A,Argentina,Austria,3,2,Germany FR,,2217
1978,Group B,Argentina,Brazil,3,1,Poland,,2252
1978,Group B,Argentina,Argentina,6,0,Peru,,2201
1978,Match for third place,Argentina,Brazil,2,1,Italy,,2247
1978,Final,Argentina,Argentina,3,1,Netherlands,Argentina win after extra time,2198
1982,Group 3,Argentina,Argentina,0,1,Belgium,,749
1982,Group 1,Spain,Italy,0,0,Poland,,995
1982,Group 6,Spain,Brazil,2,1,Soviet Union,,791
1982,Group 1,Spain,Peru,0,0,Cameroon,,833
1982,Group 3,Spain,Hungary,10,1,El Salvador,,896
1982,Group 6,Spain,Scotland,5,2,New Zealand,,1051
1982,Group 2,Spain,Germany FR,1,2,Algeria,,741
1982,Group 4,Spain,England,3,1,France,,878
1982,Group 5,Spain,Spain,1,1,Honduras,,901
1982,Group 2,Spain,Chile,0,1,Austria,,764
1982,Group 4,Spain,Czechoslovakia,1,1,Kuwait,,1012
1982,Group 5,Spain,Yugoslavia,0,0,Northern Ireland,,1044
1982,Group 1,Spain,Italy,1,1,Peru,,994
1982,Group 3,Spain,Argentina,4,1,Hungary,,752
1982,Group 6,Spain,Brazil,4,1,Scotland,,790
1982,Group 1,Spain,Poland,0,0,Cameroon,,834
1982,Group 3,Spain,Belgium,1,0,El Salvador,,774
1982,Group 6,Spain,Soviet Union,3,0,New Zealand,,1054
1982,Group 2,Spain,Germany FR,4,1,Chile,,813
1982,Group 4,Spain,England,2,0,Czechoslovakia,,889
1982,Group 5,Spain,Spain,2,1,Yugoslavia,,903
1982,Group 2,Spain,Algeria,0,2,Austria,,739
1982,Group 4,Spain,France,4,1,Kuwait,,919
1982,Group 5,Spain,Honduras,1,1,Northern Ireland,,959
1982,Group 1,Spain,Poland,5,1,Peru,,1055
1982,Group 3,Spain,Belgium,1,1,Hungary,,779
1982,Group 6,Spain,Soviet Union,2,2,Scotland,,1071
1982,Group 1,Spain,Italy,1,1,Cameroon,,828
1982,Group 3,Spain,Argentina,2,0,El Salvador,,751
1982,Group 6,Spain,Brazil,4,0,New Zealand,,789
1982,Group 2,Spain,Algeria,3,2,Chile,,740
1982,Group 4,Spain,France,1,1,Czechoslovakia,,922
1982,Group 5,Spain,Honduras,0,1,Yugoslavia,,962
1982,Group 2,Spain,Germany FR,1,0,Austria,,770
1982,Group 4,Spain,England,1,0,Kuwait,,882
1982,Group 5,Spain,Northern Ireland,1,0,Spain,,902
